,Name of Member,Party,Constituency,State,Constituency Type
473,"Singh Deo, Smt. Sangeeta Kumari",Bharatiya Janata Party,Bolangir,Odisha,
474,"Sinha, Shri Jayant",Bharatiya Janata Party,Hazaribagh,Jharkhand,
475,"Solanki, Dr. (Prof.) Kirit Premjibhai",Bharatiya Janata Party,Ahmedabad West,Gujarat,SC
476,"Solanky, Shri Mahendra Singh",Bharatiya Janata Party,Dewas,Madhya Pradesh,SC
477,"Soni, Shri Sunil Kumar",Bharatiya Janata Party,Raipur,Chhattisgarh,
478,"Sonkar, Shri Vinod Kumar",Bharatiya Janata Party,Kaushambi,Uttar Pradesh,SC
479,"Soren, Shri Sunil",Bharatiya Janata Party,Dumka,Jharkhand,ST
480,"Sridhar, Shri Kotagiri",Yuvajana Sramika Rythu Congress Party,Eluru,Andhra Pradesh,
481,"Subba, Shri Indra Hang",Sikkim Krantikari Morcha,Sikkim,Sikkim,
482,"Subbarayan, Shri K.",Communist Party of India,Tiruppur,Tamil Nadu,
483,"Sudhakaran, Shri Kumbakudi",Indian National Congress,Kannur,Kerala,
484,"Sule, Smt. Supriya Sadanand",Nationalist Congress Party,Baramati,Maharashtra,
485,"Suman, Dr. Alok Kumar",Janata Dal (United),Gopalganj,Bihar,SC
486,"Sundaram, Shri K. Shanmuga",Dravida Munnetra Kazhagam,Pollachi,Tamil Nadu,
487,"Sunil Kumar Pintu, Shri",Janata Dal (United),Sitamarhi,Bihar,
488,"Suresh, Shri Doddaalahalli Kempegowda",Indian National Congress,Bangalore Rural,Karnataka,
489,"Suresh, Shri Nandigam",Yuvajana Sramika Rythu Congress Party,Bapatla,Andhra Pradesh,SC
490,"Surya, Shri L.S. Tejasvi",Bharatiya Janata Party,Bangalore South,Karnataka,
491,"Swami Maharaj, Dr. Sakshi Ji",Bharatiya Janata Party,Unnao,Uttar Pradesh,
492,"Syed Imtiaz Jaleel, Shri",All India Majlis-E-Ittehadul Muslimeen,Aurangabad,Maharashtra,
493,"T. Sumathy (A) Thamizhachi Thangapandian, Dr.",Dravida Munnetra Kazhagam,Chennai South,Tamil Nadu,
494,"Tadas, Shri Ramdas Chandrabhanji",Bharatiya Janata Party,Wardha,Maharashtra,
495,"Tagore B., Shri Manickam",Indian National Congress,Virudhunagar,Tamil Nadu,
